"","date","day_of_week","is_weekday","location","hour","demand","wind_speed","temperature","activity"
"235","2025-09-02","Tuesday",1,"swansea",19,546.33,4.05743014374332,16.51385,0.760203135626704
"236","2025-09-02","Tuesday",1,"swansea",20,561.57,4.12966739129443,15.94265,0.832174140471705
"237","2025-09-02","Tuesday",1,"swansea",21,546.62,3.63060076977565,15.600215,0.667454282746585
"238","2025-09-02","Tuesday",1,"swansea",22,514.9,3.62478425594073,15.4048700000001,0.360144081289184
"239","2025-09-02","Tuesday",1,"swansea",23,474.35,4.03051576064822,15.351615,0.280099462633328
"240","2025-09-02","Tuesday",1,"swansea",24,383.94,4.14212574788212,15.119595,0.118439282854289
"241","2025-09-03","Wednesday",1,"birmingham",1,290.59,3.36413880845092,15.06045,0.0534461940746028
"242","2025-09-03","Wednesday",1,"birmingham",2,283,3.51212267863979,14.8207,0
"243","2025-09-03","Wednesday",1,"birmingham",3,276.11,3.59637462587448,14.56948,0.0954067167482736
"244","2025-09-03","Wednesday",1,"birmingham",4,265.17,3.59383067854135,14.47354,0.0960850997518149
"245","2025-09-03","Wednesday",1,"birmingham",5,258.4,3.14306484850463,14.22988,0.100626509324299
"246","2025-09-03","Wednesday",1,"birmingham",6,264,2.90521485073226,14.2648,0.180911301969695
"247","2025-09-03","Wednesday",1,"birmingham",7,307.29,2.87020407438568,14.14028,0.0607748937199302
"248","2025-09-03","Wednesday",1,"birmingham",8,388.1,1.50770944955417,14.33438,0.882302645827248
"249","2025-09-03","Wednesday",1,"birmingham",9,416.7,3.0255324792362,15.35635,0.839665320309989
"250","2025-09-03","Wednesday",1,"birmingham",10,428.93,5.32598926097719,17.1027,0.320559703809639
"251","2025-09-03","Wednesday",1,"birmingham",11,426.22,5.48013328015914,18.60732,0.308575170912042
"252","2025-09-03","Wednesday",1,"birmingham",12,429.29,6.27328679942511,19.1874,0.20045023716231
"253","2025-09-03","Wednesday",1,"birmingham",13,439.48,5.51921945593079,19.84316,0.291959510419645
"254","2025-09-03","Wednesday",1,"birmingham",14,446.42,4.55656252106327,20.07485,0.323068451042003
"255","2025-09-03","Wednesday",1,"birmingham",15,441.92,4.84070273663147,19.038,0.248412313402498
"256","2025-09-03","Wednesday",1,"birmingham",16,434.35,5.41830789892149,18.83706,0.318250695068691
"257","2025-09-03","Wednesday",1,"birmingham",17,456.12,5.18023045641675,19.13442,0.355997391403042
"258","2025-09-03","Wednesday",1,"birmingham",18,463.45,5.22512372719404,18.75698,0.774555971820947
"259","2025-09-03","Wednesday",1,"birmingham",19,468.3,5.12714300746499,18.13223,0.751250168017
"260","2025-09-03","Wednesday",1,"birmingham",20,433.29,5.12152608853062,16.93618,0.742035494531719
"261","2025-09-03","Wednesday",1,"birmingham",21,429.44,5.17819707599389,16.0712,0.561277864117405
"262","2025-09-03","Wednesday",1,"birmingham",22,401.35,4.90245754069848,15.36978,0.475343020174606
